# col1    HIP     RA               DE               RARad          DERad           _r        _RAJ2000     _DEJ2000     RAJ2000      DEJ2000      2MASS              Jmag     e_Jmag   Hmag     e_Hmag   Kmag     e_Kmag   Qflg Rflg Bflg Cflg Xflg   Aflg   Separation             
  3       3       0.0050079433     38.8592860817    8.74051E-5     0.6782224871    4.1E-5    0.004956     38.859291    0.004956     38.859291    00000118+3851334   6.522    0.02     6.562    0.023    6.509    0.02     AAA 111 111 000 0      0      4.07456111538178E-5    
  278     278     0.8631187429     55.5509021918    0.0150642639   0.9695461457    3.2E-5    0.863082     55.550926    0.863082     55.550926    00032713+5533033   7.266    0.018    7.225    0.046    7.09     0.02     AAA 111 111 000 0      0      3.160420021789225E-5   
  531     531     1.6105283841     64.1961686553    0.028109023    1.1204345102    4.8E-5    1.610423     64.196182    1.610423     64.196182    00062650+6411462   5.463    0.037    5.47     0.044    5.468    0.023    EAA 111 111 000 0      0      4.777438796044185E-5   
  940     940     2.9047769435     58.2118356029    0.0506979217   1.0159881949    1.5E-5    2.904806     58.211838    2.904806     58.211838    00113715+5812426   6.49     0.019    6.43     0.044    6.332    0.018    AAA 111 111 000 0      0      1.549295428472697E-5   
  1036    1036    3.2468687633     66.3220666918    0.0566685503   1.1575384305    1.7E-5    3.246829     66.32206     3.246829     66.32206     00125923+6619194   8.866    0.027    8.657    0.021    8.477    0.022    AAA 122 111 000 0      0      1.7314188046707062E-5  
  2525    2525    8.0118067201     67.1611279568    0.1398324063   1.1721828122    3.5E-5    8.011891     67.16114     8.011891     67.16114     00320285+6709401   7.577    0.02     7.519    0.042    7.412    0.023    AAA 111 111 000 0      0      3.485892143332178E-5   
  2613    2613    8.298368794      51.6686128402    0.144833858    0.901787414     1.0E-5    8.298353     51.66861     8.298353     51.66861     00331160+5140069   8.826    0.027    8.855    0.023    8.741    0.02     AAA 122 111 000 0      0      1.019902449267899E-5   
  3383    3383    10.7552956547    64.1104571141    0.1877153212   1.1189385616    3.8E-5    10.755276    64.11042     10.755276    64.11042     00430126+6406375   8.763    0.026    8.745    0.032    8.7      0.023    AAA 122 111 000 0      0      3.809339727970429E-5   
  3504    3504    11.181258956     48.2843823328    0.1951497833   0.842721449     2.9E-5    11.181301    48.284374    11.181301    48.284374    00444351+4817037   4.653    0.268    4.612    0.208    4.404    0.015    DCA 331 111 0d0 0      0      2.9192057654232833E-5  
  3709    3709    11.9092200605    66.7570611602    0.2078551014   1.1651305162    5.0E-5    11.909096    66.75705     11.909096    66.75705     00473818+6645253   7.887    0.023    7.815    0.04     7.718    0.02     AAA 111 111 000 0      0      5.0213981927822535E-5  
  3812    3812    12.255440511     -56.0970371568   0.2138977882   -0.979077999    2.2E-5    12.25548     -56.097038   12.25548     -56.097038   00490131-5605493   10.603   0.022    10.617   0.022    10.583   0.022    AAA 222 111 000 0      0      2.204262468396212E-5   
  4427    4427    14.177087837     60.7167495468    0.2474368611   1.0597071907    2.0E-5    14.177127    60.716743    14.177127    60.716743    00564251+6043002   2.039    0.238    1.993    0.182    1.756    0.23     DCD 333 111 000 0      0      2.0243554787477378E-5  
  4983    4983    15.9723466436    47.6423017749    0.2787700382   0.8315150292    2.4E-5    15.972321    47.642319    15.972321    47.642319    01035335+4738323   6.82     0.021    6.883    0.023    6.886    0.017    AAA 111 111 000 0      0      2.4397087469320914E-5  
  5147    5147    16.4707281318    65.9710763447    0.2874684361   1.1514124933    1.9E-5    16.470698    65.971062    16.470698    65.971062    01055296+6558158   6.825    0.027    6.843    0.021    6.819    0.017    AAA 111 111 000 0      0      1.8876271435519078E-5  
  5434    5434    17.375509008     47.2418244041    0.3032598414   0.8245253805    8.8E-5    17.375591    47.241756    17.375591    47.241756    01093014+4714303   4.401    0.264    4.451    0.198    4.585    0.284    DCD 333 111 000 0      0      8.81912537331097E-5    
  6027    6027    19.3595392109    57.6320788213    0.3378877009   1.0058695302    2.6E-5    19.359584    57.632069    19.359584    57.632069    01172630+5737554   6.465    0.02     6.299    0.038    6.103    0.016    AAA 111 111 000 0      0      2.5911458671959764E-5  
  6109    6109    19.6129020991    61.8929194228    0.3423097175   1.0802352276    4.1E-5    19.612941    61.892956    19.612941    61.892956    01182710+6153346   7.505    0.019    7.338    0.02     7.261    0.016    AAA 111 111 000 0      0      4.091174725303351E-5   
  6775    6775    21.7746172171    57.7218137351    0.3800387638   1.0074356999    5.1E-5    21.774523    57.721809    21.774523    57.721809    01270588+5743185   8.161    0.023    8.102    0.051    8.014    0.027    AAA 111 111 000 0      0      5.053712615930565E-5   
  7457    7457    24.0127864425    47.1144972022    0.419102186    0.8223031016    5.8E-5    24.012871    47.114491    24.012871    47.114491    01360308+4706521   7.056    0.019    7.107    0.036    7.088    0.021    AAA 111 111 000 0      0      5.787765861545866E-5   
  7557    7557    24.3424305709    74.300962086     0.4248555614   1.2967964258    5.6E-5    24.342615    74.300987    24.342615    74.300987    01372222+7418035   6.408    0.05     6.395    0.047    6.382    0.029    AAA 111 111 000 0      0      5.57770057631909E-5    
  7588    7588    24.4281320795    -57.2366598485   0.4263513349   -0.9989681672   2.06E-4   24.428512    -57.236649   24.428512    -57.236649   01374284-5714119   0.815    0.254    0.865    0.32     0.88     0.33     DDD 333 111 000 0      0      2.0588772154132466E-4  
  7936    7936    25.503875592     61.7954501976    0.4451266011   1.0785340687    1.2E-5    25.503899    61.795456    25.503899    61.795456    01420093+6147436   7.539    0.02     7.349    0.04     7.058    0.017    AAA 111 111 000 0      0      1.2492403570366107E-5  
  8068    8068    25.9150636697    50.6887653942    0.4523031869   0.8846858499    1.09E-4   25.915193    50.688694    25.915193    50.688694    01433964+5041192   4.049    0.286    3.955    0.188    3.709    0.276    DCD 333 111 000 0      0      1.0867603133437977E-4  
  8738    8738    28.1087254075    55.3316001263    0.4905898069   0.9657186026    2.7E-5    28.108758    55.331581    28.108758    55.331581    01522610+5519536   6.912    0.03     6.714    0.026    6.357    0.02     AAA 111 111 000 0      0      2.6636950845530852E-5  
  8980    8980    28.9285542268    59.2734545541    0.5048985191   1.034516941     9.0E-6    28.928572    59.273453    28.928572    59.273453    01554285+5916244   6.457    0.02     6.33     0.051    6.139    0.029    AAA 111 111 000 0      0      9.213082862094644E-6   
  9017    9017    29.0297517228    56.5543852928    0.5066647486   0.9870602298    1.0E-5    29.029749    56.554375    29.029749    56.554375    01560713+5633157   9.873    0.025    9.81     0.03     9.749    0.02     AAA 222 111 000 0      0      1.0401620424121164E-5  
  9115    9115    29.3724401178    64.0411543909    0.5126457894   1.1177290009    3.3E-5    29.372458    64.041122    29.372458    64.041122    01572938+6402280   8.249    0.021    7.999    0.038    7.654    0.029    AAA 111 111 000 0      0      3.332326719723011E-5   
  9538    9538    30.6517897519    59.6881017326    0.5349746528   1.0417538995    4.9E-5    30.651694    59.688095    30.651694    59.688095    02023640+5941171   7.218    0.023    7.085    0.023    6.902    0.017    AAA 111 111 000 0      0      4.8793370820003385E-5  
  9703    9703    31.2018438285    56.2620155984    0.5445749075   0.981957416     2.1E-5    31.20188     56.26202     31.20188     56.26202     02044845+5615432   9.04     0.023    8.909    0.028    8.651    0.024    AAA 222 111 000 0      0      2.056604212454994E-5   
  9935    9935    31.9725857091    57.1056884402    0.558026891    0.9966822849    7.4E-5    31.972675    57.105633    31.972675    57.105633    02075344+5706202   7.788    0.032    7.667    0.044    7.356    0.018    AAA 111 111 000 0      0      7.365595202314252E-5   
  10147   10147   32.6289358841    64.0919849777    0.5694823626   1.118616162     2.2E-5    32.628892    64.091995    32.628892    64.091995    02103093+6405311   8.417    0.029    8.159    0.027    7.942    0.023    AAA 111 111 000 0      0      2.163551176190228E-5   
  10243   10243   32.9329608521    60.7123636465    0.5747885993   1.0596306423    1.0E-5    32.932973    60.712372    32.932973    60.712372    02114391+6042445   5.669    0.018    5.267    0.024    4.945    0.02     AAA 111 111 0d0 0      0      1.0251655171358091E-5  
  10475   10475   33.7608468733    55.7932282225    0.5892379362   0.9737755328    1.7E-5    33.760819    55.793221    33.760819    55.793221    02150259+5547355   8.291    0.032    8.313    0.04     8.266    0.018    AAA 111 111 000 0      0      1.725423244829528E-5   
  10486   10486   33.8040422073    64.024455536     0.589991837    1.1174375509    1.7E-5    33.804015    64.024467    33.804015    64.024467    02151296+6401280   7.136    0.023    6.995    0.024    6.832    0.018    AAA 111 111 000 0      0      1.6535573059118726E-5  
  10610   10610   34.1499715265    49.8198836412    0.5960294426   0.8695210025    3.8E-5    34.149915    49.819874    34.149915    49.819874    02163597+4949115   7.605    0.026    7.66     0.026    7.655    0.021    AAA 111 111 000 0      0      3.7723319253380355E-5  
  11116   11116   35.7521853133    -29.6194569712   0.6239933485   -0.5169570468   7.0E-6    35.752184    -29.61945    35.752184    -29.61945    02230052-2937100   8.545    0.023    8.604    0.026    8.639    0.021    AAA 112 111 000 0      0      7.064069616101313E-6   
  11607   11607   37.4314146201    60.6773704841    0.6533014288   1.0590198964    3.0E-5    37.431366    60.677353    37.431366    60.677353    02294352+6040384   7.694    0.019    7.641    0.021    7.521    0.027    AAA 111 111 000 0      0      2.95404336383111E-5    
  11722   11722   37.8314003415    56.8978317681    0.6602824966   0.9930545016    2.4E-5    37.831363    56.89782     37.831363    56.89782     02311952+5653521   8.153    0.03     7.972    0.046    7.735    0.024    AAA 111 111 000 0      0      2.3545299265576884E-5  
  11894   11894   38.3608480999    70.9565113451    0.6695231032   1.2384247487    9.1E-5    38.360815    70.956421    38.360815    70.956421    02332659+7057231   7.614    0.024    7.535    0.04     7.415    0.018    AAA 111 111 000 0      0      9.098834081803021E-5   
  12469   12469   40.1319368136    61.2293307225    0.7004344326   1.0686534199    2.0E-5    40.131903    61.229343    40.131903    61.229343    02403165+6113456   8.621    0.024    8.228    0.021    7.917    0.023    AAA 111 111 000 0      0      2.038630191549571E-5   
  13997   13997   45.0495013306    38.131807528     0.7862621246   0.6655255911    5.6E-5    45.049496    38.131752    45.049496    38.131752    03001187+3807543   6.127    0.023    6.13     0.021    6.104    0.016    AAE 111 111 000 0      0      5.568608555175823E-5   
  14166   14166   45.6578620102    57.6127977258    0.7968800215   1.0055330116    1.3E-5    45.657866    57.612785    45.657866    57.612785    03023788+5736460   7.534    0.035    7.381    0.031    7.288    0.023    AAA 111 111 000 0      0      1.2903996971626342E-5  
  14542   14542   46.9406344599    67.5773981415    0.8192686243   1.1794480975    4.3E-5    46.940561    67.577431    46.940561    67.577431    03074573+6734387   6.243    0.018    5.618    0.036    5.435    0.018    AAA 111 111 000 0      0      4.318345157632832E-5   
  14626   14626   47.225761326     62.3845966402    0.8242450269   1.0888166139    3.9E-5    47.225735    62.38456     47.225735    62.38456     03085417+6223044   5.609    0.02     5.489    0.026    5.255    0.023    AAA 111 111 000 0      0      3.861887778770628E-5   
  15114   15114   48.7304661529    48.695798717     0.8505070804   0.8499020195    2.9E-5    48.730496    48.695778    48.730496    48.695778    03145531+4841448   7.172    0.024    7.151    0.021    7.11     0.021    AAA 111 111 000 0      0      2.8588721178073854E-5  
  15150   15150   48.8197847728    59.9136585894    0.8520659844   1.0456906093    5.9E-5    48.819901    59.913647    48.819901    59.913647    03151677+5954491   7.685    0.023    7.575    0.021    7.534    0.02     AAA 111 111 000 0      0      5.940665622061859E-5   
  15188   15188   48.9410878735    -16.8287209112   0.8541831229   -0.2937165888   3.4E-5    48.941122    -16.828732   48.941122    -16.828732   03154586-1649434   8.23     0.019    8.309    0.033    8.346    0.029    AAA 111 111 000 0      0      3.449586424650522E-5   
  15270   15270   49.2489849075    60.0674926408    0.8595569399   1.04837552      1.6E-5    49.249016    60.067497    49.249016    60.067497    03165976+6004029   7.189    0.024    7.191    0.023    7.193    0.02     AAA 111 111 000 0      0      1.611530108686601E-5   
  15520   15520   49.9969031461    65.6523271005    0.8726105757   1.1458492695    7.4E-5    49.996807    65.65239     49.996807    65.65239     03195923+6539086   5.048    0.02     5.074    0.026    5.048    0.024    AAA 111 111 000 0      0      7.43474670545683E-5    
  15521   15521   50.0049833923    59.8641060881    0.8727516026   1.044825755     3.0E-5    50.004944    59.864128    50.004944    59.864128    03200118+5951508   8.884    0.03     8.845    0.027    8.799    0.021    AAA 122 111 000 0      0      2.9517132980630846E-5  
  15796   15796   50.8879249852    71.4185472211    0.8881618405   1.246488796     4.0E-5    50.887809    71.418533    50.887809    71.418533    03233307+7125067   6.939    0.024    6.856    0.033    6.729    0.024    AAA 111 111 000 0      0      3.9600585435772146E-5  
  16195   16195   52.1633088691    62.4930018593    0.9104214885   1.0907086419    7.4E-5    52.163444    62.492962    52.163444    62.492962    03283922+6229346   6.691    0.019    6.492    0.023    6.256    0.02     AAA 111 111 000 0      0      7.405349456715534E-5   
