# col1    HIP     RA               DE               RARad          DERad          
  3       3       0.0050079433     38.8592860817    8.74051E-5     0.6782224871   
  278     278     0.8631187429     55.5509021918    0.0150642639   0.9695461457   
  531     531     1.6105283841     64.1961686553    0.028109023    1.1204345102   
  940     940     2.9047769435     58.2118356029    0.0506979217   1.0159881949   
  1036    1036    3.2468687633     66.3220666918    0.0566685503   1.1575384305   
  2525    2525    8.0118067201     67.1611279568    0.1398324063   1.1721828122   
  2613    2613    8.298368794      51.6686128402    0.144833858    0.901787414    
  3383    3383    10.7552956547    64.1104571141    0.1877153212   1.1189385616   
  3504    3504    11.181258956     48.2843823328    0.1951497833   0.842721449    
  3709    3709    11.9092200605    66.7570611602    0.2078551014   1.1651305162   
  3812    3812    12.255440511     -56.0970371568   0.2138977882   -0.979077999   
  4427    4427    14.177087837     60.7167495468    0.2474368611   1.0597071907   
  4983    4983    15.9723466436    47.6423017749    0.2787700382   0.8315150292   
  5147    5147    16.4707281318    65.9710763447    0.2874684361   1.1514124933   
  5434    5434    17.375509008     47.2418244041    0.3032598414   0.8245253805   
  6027    6027    19.3595392109    57.6320788213    0.3378877009   1.0058695302   
  6109    6109    19.6129020991    61.8929194228    0.3423097175   1.0802352276   
  6775    6775    21.7746172171    57.7218137351    0.3800387638   1.0074356999   
  7457    7457    24.0127864425    47.1144972022    0.419102186    0.8223031016   
  7557    7557    24.3424305709    74.300962086     0.4248555614   1.2967964258   
  7588    7588    24.4281320795    -57.2366598485   0.4263513349   -0.9989681672  
  7936    7936    25.503875592     61.7954501976    0.4451266011   1.0785340687   
  8068    8068    25.9150636697    50.6887653942    0.4523031869   0.8846858499   
  8738    8738    28.1087254075    55.3316001263    0.4905898069   0.9657186026   
  8980    8980    28.9285542268    59.2734545541    0.5048985191   1.034516941    
  9017    9017    29.0297517228    56.5543852928    0.5066647486   0.9870602298   
  9115    9115    29.3724401178    64.0411543909    0.5126457894   1.1177290009   
  9538    9538    30.6517897519    59.6881017326    0.5349746528   1.0417538995   
  9703    9703    31.2018438285    56.2620155984    0.5445749075   0.981957416    
  9935    9935    31.9725857091    57.1056884402    0.558026891    0.9966822849   
  10147   10147   32.6289358841    64.0919849777    0.5694823626   1.118616162    
  10243   10243   32.9329608521    60.7123636465    0.5747885993   1.0596306423   
  10475   10475   33.7608468733    55.7932282225    0.5892379362   0.9737755328   
  10486   10486   33.8040422073    64.024455536     0.589991837    1.1174375509   
  10610   10610   34.1499715265    49.8198836412    0.5960294426   0.8695210025   
  11116   11116   35.7521853133    -29.6194569712   0.6239933485   -0.5169570468  
  11607   11607   37.4314146201    60.6773704841    0.6533014288   1.0590198964   
  11722   11722   37.8314003415    56.8978317681    0.6602824966   0.9930545016   
  11894   11894   38.3608480999    70.9565113451    0.6695231032   1.2384247487   
  12469   12469   40.1319368136    61.2293307225    0.7004344326   1.0686534199   
  13997   13997   45.0495013306    38.131807528     0.7862621246   0.6655255911   
  14166   14166   45.6578620102    57.6127977258    0.7968800215   1.0055330116   
  14542   14542   46.9406344599    67.5773981415    0.8192686243   1.1794480975   
  14626   14626   47.225761326     62.3845966402    0.8242450269   1.0888166139   
  15114   15114   48.7304661529    48.695798717     0.8505070804   0.8499020195   
  15150   15150   48.8197847728    59.9136585894    0.8520659844   1.0456906093   
  15188   15188   48.9410878735    -16.8287209112   0.8541831229   -0.2937165888  
  15270   15270   49.2489849075    60.0674926408    0.8595569399   1.04837552     
  15520   15520   49.9969031461    65.6523271005    0.8726105757   1.1458492695   
  15521   15521   50.0049833923    59.8641060881    0.8727516026   1.044825755    
  15796   15796   50.8879249852    71.4185472211    0.8881618405   1.246488796    
  16195   16195   52.1633088691    62.4930018593    0.9104214885   1.0907086419   
  16252   16252   52.3594343506    46.9379375934    0.9138445239   0.8192215551   
  16406   16406   52.8153035622    41.726467901     0.9218009426   0.7282642501   
  16430   16430   52.8879874754    47.8624813826    0.9230695162   0.8353578883   
  16826   16826   54.1223337099    48.1927005543    0.9446129221   0.8411213001   
  16941   16941   54.504327869     55.1708660243    0.9512799779   0.9629132633   
  17146   17146   55.083202668     61.8440071102    0.9613832491   1.0793815467   
  17203   17203   55.2826718911    37.5802641278    0.9648646438   0.6558993428   
  17309   17309   55.5789369938    19.7002861785    0.9700354453   0.3438348574   
  17499   17499   56.2188481846    24.1134484063    0.9812040025   0.4208590687   
  17608   17608   56.5815014887    23.9484619949    0.9875334967   0.4179795126   
  17702   17702   56.8711008004    24.1052417943    0.9925879582   0.4207158363   
  17772   17772   57.0753370209    50.7367719637    0.9961525527   0.8855237226   
  17851   17851   57.2966841619    24.1368255656    1.0000157891   0.4212670771   
  17963   17963   57.6044755252    52.4819079468    1.0053877618   0.9159820914   
  18172   18172   58.3018455422    63.4834365398    1.0175591647   1.1079949881   
  18350   18350   58.8461612573    31.0458482364    1.0270592661   0.5418522708   
  18424   18424   59.0848454022    44.9374938971    1.0312250903   0.7843072261   
