@RELATION STAR-A-BE



@ATTRIBUTE jh NUMERIC
@ATTRIBUTE hk NUMERIC
@ATTRIBUTE grp {o,be}


@DATA
0.04099989,0.13499975,be
-0.0069999695,0.001999855,be
0.059999943,0.09800005,be
0.20900059,0.17999935,be
0.058000088,0.106999874,be
-0.028999329,0.11399937,be
0.017999649,0.045000076,be
0.04099989,0.20800018,be
0.07200003,0.09700012,be
-0.013999939,0.033999443,be
0.046000004,0.23699999,be
-0.062999725,-0.0030002594,be
-0.018000126,0.024000168,be
-0.05000019,-0.13399982,be
0.16600037,0.19599962,be
0.1670003,0.076999664,be
0.059000015,0.0880003,be
-0.05099964,0.019000053,be
0.013000011,0.013000011,be
-0.050000012,-0.014999986,be
0.19000006,0.2909999,be
0.09399986,0.24599981,be
0.19799995,0.35700035,be
0.12699986,0.19099998,be
0.062999725,0.061000824,be
0.24999952,0.34500027,be
0.1329999,0.18300009,be
0.13099957,0.25800037,be
0.12100029,0.31099987,be
0.25799942,0.21700048,be
0.40199995,0.32200003,be
-0.02199936,0.04699993,be
0.14100027,0.1630001,be
-0.05499983,0.0049996376,be
-0.059000015,-0.034999847,be
0.052999973,0.119999886,be
0.18099976,0.23699999,be
0.078999996,0.119999886,be
0.3930006,0.31099987,be
-0.0030002594,0.026000023,be
0.15299988,0.092999935,be
0.625,0.18300009,be
0.12000036,0.23399973,be
0.020999908,0.04099989,be
0.11000013,0.04099989,be
-0.07900047,-0.036999702,be
-0.001999855,-0.001999855,be
-0.026000023,0.026000023,be
0.038999557,0.04600048,be
0.08300018,0.12699986,be
0.19899988,0.23600006,be
-0.02699995,-9.999275E-4,be
-0.045000076,0.016999722,be
-0.032000065,-0.011999607,be
0.1630001,0.046000004,be
0.116000175,0.24800014,be
0.18800068,0.21299982,be
-0.10400009,0.034000397,be
-0.013999939,0.008000374,be
-0.007999897,0.16400003,be
-0.07600021,0.089000225,be
0.0,0.09899998,be
0.001999855,0.0069999695,be
0.01999998,0.13000011,be
0.05000019,0.11799955,be
0.09700012,0.112999916,be
0.07600021,0.15299988,be
0.13199997,0.18600035,be
-0.08799982,0.08799982,be
0.17299986,0.22200012,be
0.078999996,0.102999926,be
0.072999954,0.12199974,be
0.07200003,0.20900011,be
0.07200003,0.11399984,be
0.50600004,0.15999985,be
-0.069000244,0.14100027,be
0.12699986,0.20600033,be
0.077999115,0.18400002,be
-0.08899975,0.29299974,be
0.019000053,-0.019999504,be
0.04400015,0.13199997,be
0.04300022,0.1949997,be
-0.024000168,0.06400013,be
-0.038999557,-0.017000198,be
0.092999935,0.12400007,be
0.11100006,0.18599987,be
0.08899975,0.10000038,be
0.43400002,0.10000038,be
0.40299988,0.11499977,be
0.23600006,0.18599987,be
-0.11700058,0.032999992,be
0.022000313,0.11899996,be
0.024000168,0.13000011,be
0.096999645,0.17300034,be
-0.03999996,-0.07000065,be
0.47700024,0.2750001,be
-0.016999722,-0.028000355,be
0.05000019,0.11199999,be
-0.019000053,0.085999966,be
-0.0050001144,-0.031000137,be
-0.052999973,0.07399988,be
0.18900013,0.27699995,be
-0.04799986,0.061999798,be
-0.056999683,0.11499977,be
0.078999996,0.24000025,be
0.09499979,0.2880001,be
0.06899977,0.028999805,be
-0.13700008,0.0030002594,be
0.10999966,0.19799995,be
0.08899975,0.19200039,be
-0.046000004,0.23899984,be
-0.04300022,-0.013999939,be
0.09599972,0.115000725,be
0.1539998,0.24800014,be
0.0880003,0.11899996,be
0.012000084,0.05099964,be
-0.09599972,-0.008000374,be
-0.11100006,-0.0149998665,be
-0.109000206,0.03000021,be
0.099999905,0.09599972,be
0.061000347,0.15999985,be
-0.032000065,0.099999905,be
0.09399986,0.28100014,be
0.13300037,0.2079997,be
0.029999733,-0.019000053,be
-0.03099966,0.01099968,be
-0.056000233,-0.019999504,be
-0.13799953,0.06499958,be
0.08199978,0.17000008,be
0.13700008,0.08899975,be
0.0149998665,0.32399988,be
0.13000011,0.1539998,be
0.119999886,0.12799978,be
0.14599991,0.15700006,be
0.08500004,0.14499998,be
0.028000355,0.13899994,be
9.999275E-4,0.019000053,be
-0.0030002594,0.01099968,be
-0.022999763,0.21799994,be
-0.05100012,-0.045000076,be
0.052000046,0.006000519,be
-0.052999973,-0.05499983,be
0.09200001,0.11100006,be
-0.09700012,0.05000019,be
-0.11500025,-0.039000034,be
0.119999886,0.16200018,be
0.082999706,0.18600035,be
0.041999817,0.03600025,be
0.12599993,0.16400003,be
-0.09500027,0.032999992,be
0.009999275,0.109000206,be
0.14499998,0.22700024,be
-0.09499979,0.021999836,be
0.062000275,0.17699957,be
0.19099951,0.18700027,be
-0.1329999,9.999275E-4,be
0.06899977,0.19099998,be
0.19500017,0.31500006,be
0.009000301,0.069999695,be
-0.019000053,0.01600027,be
0.01099968,0.0890007,be
0.066999435,0.022000313,be
0.10200024,0.21999979,be
0.3210001,0.26999998,be
-0.061999798,-0.026000023,be
-0.046000004,0.023999691,be
-0.0029997826,0.10500002,be
-0.027999878,0.10599995,be
0.2409997,0.18300009,be
0.125,0.13199997,be
-0.13600016,0.007999897,be
-0.013000011,0.04799986,be
0.14700031,0.2989998,be
-0.07800007,0.041000366,be
0.08400011,0.24300003,be
-0.0089998245,0.0989995,be
0.0050001144,0.26900005,be
-0.058000088,-0.0630002,be
0.75699997,0.22000003,be
-0.13199997,-0.01499939,be
0.001999855,0.045999527,be
0.0040006638,0.12699938,be
-0.069000244,-0.0089998245,be
0.016999722,0.13600016,be
-0.045000076,-0.019000053,be
-0.020999908,0.14300013,be
0.14500046,0.32200003,be
-0.103000164,-9.999275E-4,be
-0.0020003319,0.15400028,be
-0.13899994,-0.012000084,be
0.08699989,0.11800003,be
-0.11499977,0.03399992,be
0.11199999,0.10299969,be
-0.06399965,-0.018000126,be
0.018000126,0.20300007,be
0.6949997,0.30700016,be
