@RELATION STAR-AB

@ATTRIBUTE jh NUMERIC
@ATTRIBUTE hk NUMERIC
@ATTRIBUTE jk NUMERIC
@ATTRIBUTE grp {a,b}


@DATA
0.03600025,-0.017000198,0.019000053,a
0.092999935,0.024000168,0.1170001,a
0.07200003,0.096000195,0.16800022,a
0.0,0.05100012,0.05100012,a
0.15600014,0.09399986,0.25,a
0.13599968,0.036999702,0.17299938,a
0.16799974,0.23100042,0.39900017,a
0.0029997826,0.01600027,0.019000053,a
0.14499998,0.18099976,0.32599974,a
-0.059000015,0.041999817,-0.017000198,a
0.038000107,0.080999374,0.11899948,a
0.011000156,0.025000095,0.03600025,a
0.05300045,0.024999619,0.07800007,a
0.2529993,0.027000427,0.27999973,a
0.12099981,0.06699991,0.18799973,a
0.16499996,0.04600048,0.21100044,a
0.25,0.041999817,0.29199982,a
-0.027999878,0.05000019,0.022000313,a
0.18700027,0.041000366,0.22800064,a
-0.07700014,0.039000034,-0.038000107,a
0.16000032,0.042999744,0.20300007,a
0.062000275,0.012999535,0.07499981,a
0.20499992,0.04300022,0.24800014,a
0.20000029,0.1539998,0.3540001,a
-0.07700014,0.009000301,-0.06799984,a
0.082000256,0.029999733,0.11199999,a
-0.059000015,-0.006000042,-0.06500006,a
-0.03999996,0.019000053,-0.020999908,a
0.21700001,0.032999992,0.25,a
0.123000145,0.05000019,0.17300034,a
0.106999874,0.056000233,0.1630001,a
0.18400002,0.049999714,0.23399973,a
0.21399975,0.043999672,0.25799942,a
0.22999954,0.08200073,0.31200027,a
0.17000008,-0.036000013,0.13400006,a
0.034000397,0.019000053,0.05300045,a
0.07399988,0.075000286,0.14900017,a
-0.032999992,0.44899988,0.4159999,a
0.03999996,-0.0050001144,0.034999847,a
0.078999996,0.06099987,0.13999987,a
-0.0050001144,0.041999817,0.036999702,a
0.15200043,0.013000488,0.16500092,a
0.27900028,0.048999786,0.32800007,a
-0.30900002,0.041999817,-0.2670002,a
0.10599995,0.02699995,0.1329999,a
0.119000435,0.022000313,0.14100075,a
0.20499992,0.051000595,0.25600052,a
-0.16099977,0.023999691,-0.13700008,a
0.06099987,0.07999992,0.1409998,a
0.07499981,0.0089998245,0.083999634,a
-0.009000301,0.03000021,0.020999908,a
0.076999664,0.0539999,0.13099957,a
0.1619997,0.07200003,0.23399973,a
0.14400005,0.038000584,0.18200064,a
-0.07499981,0.05700016,-0.017999649,a
0.017999649,0.07900047,0.09700012,a
0.23700047,0.069999695,0.30700016,a
-0.065999985,0.027999878,-0.038000107,a
0.19000053,0.10200024,0.29200077,a
-0.006000042,0.056000233,0.05000019,a
0.11700058,0.073999405,0.19099998,a
-0.06500006,0.026000023,-0.039000034,a
0.16800022,0.069000244,0.23700047,a
0.12899971,0.10000038,0.22900009,a
0.03000021,0.09499979,0.125,a
0.17299986,0.059999943,0.2329998,a
0.0030002594,0.0089998245,0.012000084,a
0.031000137,0.072999954,0.10400009,a
0.09300041,0.03399992,0.12700033,a
0.44099998,0.08699989,0.5279999,a
0.11100006,0.021999836,0.1329999,a
0.026000023,0.027999878,0.0539999,a
0.038999557,0.032999992,0.07199955,a
0.08699989,0.03600025,0.123000145,a
0.23699951,0.072999954,0.30999947,a
-0.05000019,0.06800032,0.018000126,a
0.11800003,0.052000046,0.17000008,a
0.052000046,0.03799963,0.089999676,a
-0.14599991,0.171,0.025000095,a
-0.085999966,0.04099989,-0.045000076,a
0.08400011,0.034999847,0.11899996,a
0.036999702,0.04699993,0.083999634,a
0.014000416,0.020999908,0.035000324,a
-0.028999805,0.0089998245,-0.01999998,a
-0.028999805,0.13000011,0.10100031,a
-0.08799982,-0.031000137,-0.11899996,a
0.50600004,0.15999985,0.6659999,a
-0.019000053,0.019000053,0.0,a
0.059000015,0.0149998665,0.07399988,a
0.123000145,-0.0069999695,0.116000175,a
0.15499973,0.07200003,0.22699976,a
0.03699994,-0.10599995,-0.069000006,a
0.21600056,0.09200001,0.30800056,a
0.017999649,0.049000263,0.06699991,a
