@RELATION STAR-B-BE

@ATTRIBUTE jh NUMERIC
@ATTRIBUTE hk NUMERIC
@ATTRIBUTE jk NUMERIC
@ATTRIBUTE grp {b,be}


@DATA
-0.09899998,-0.0050001144,-0.10400009,b
0.58399963,0.21000004,0.7939997,b
-0.13800001,-0.13199997,-0.26999998,b
-0.08099985,0.10400009,0.02300024,b
0.043999672,0.062999725,0.1069994,b
-0.00399971,-0.020000458,-0.024000168,b
0.069000244,0.043999672,0.112999916,b
0.0050001144,0.0050001144,0.010000229,b
-0.06099987,0.019000053,-0.041999817,b
-0.10200024,-0.00399971,-0.10599995,b
-0.096000195,-0.017999649,-0.11399984,b
0.09000015,-0.026000023,0.06400013,b
-0.07800007,-0.013999939,-0.09200001,b
-0.055999756,0.05099964,-0.0050001144,b
0.01600027,0.018000126,0.034000397,b
-0.061999798,0.00399971,-0.058000088,b
9.999275E-4,0.011000156,0.012000084,b
0.029000282,0.017999649,0.04699993,b
0.0,0.008000374,0.008000374,b
0.18200016,0.17000008,0.35200024,b
-0.04699993,-0.006000042,-0.052999973,b
0.05000019,-0.026000023,0.024000168,b
-0.0089998245,0.019000053,0.010000229,b
0.022999763,-0.0069999695,0.015999794,b
-0.05499983,-0.032999992,-0.08799982,b
-0.13000011,0.029000282,-0.10099983,b
-0.07600021,-0.10199976,-0.17799997,b
0.11899996,0.032999992,0.15199995,b
0.045000076,0.04200077,0.08700085,b
0.0710001,0.09499979,0.16599989,b
0.0050001144,0.005999565,0.01099968,b
-0.0030002594,0.032000065,0.028999805,b
0.046000004,-0.017999649,0.028000355,b
-0.041999817,0.022999763,-0.019000053,b
-0.1079998,0.03799963,-0.07000017,b
0.03399992,0.08300018,0.1170001,b
0.05700016,0.03799963,0.09499979,b
0.10899973,0.075000286,0.18400002,b
0.11100006,0.052000046,0.1630001,b
0.039000034,-0.009999752,0.029000282,b
0.0049996376,-0.001999855,0.0029997826,b
0.031000137,0.03399992,0.06500006,b
-0.13399982,0.013999939,-0.119999886,b
0.01999998,0.007999897,0.027999878,b
-0.054000378,-0.0049996376,-0.059000015,b
0.0030002594,0.029999733,0.032999992,b
0.012000084,0.0539999,0.065999985,b
-0.10200024,0.062000275,-0.03999996,b
-0.06400013,-0.018000126,-0.082000256,b
-0.0050001144,0.09100008,0.085999966,b
-0.05000019,0.0020003319,-0.04799986,b
-0.07600021,-0.034999847,-0.11100006,b
0.10899997,0.18999982,0.2989998,b
-0.09800005,0.0,-0.09800005,b
-0.04400015,-0.038000107,-0.082000256,b
-0.10400009,0.03600025,-0.06799984,b
-0.026000023,-0.08100033,-0.10700035,b
-0.14100003,0.038000107,-0.102999926,b
-0.048999786,-0.012000084,-0.06099987,b
-0.038000107,-0.035999775,-0.07399988,b
0.07600021,0.022999763,0.09899998,b
0.015000343,0.023999691,0.039000034,b
-0.03000021,0.04300022,0.013000011,b
0.25299978,0.13700008,0.38999987,b
-0.03000021,0.04699993,0.016999722,b
-0.07800007,0.0,-0.07800007,b
-0.09799957,0.049999714,-0.04799986,b
0.12099981,0.13199997,0.25299978,b
-0.04699993,-0.025000095,-0.07200003,b
-0.038000107,-0.01999998,-0.058000088,b
-0.0539999,-0.017999649,-0.07199955,b
0.022000313,0.036999702,0.059000015,b
-0.09000015,9.999275E-4,-0.089000225,b
-0.119999886,0.021999836,-0.09800005,b
0.03600025,0.18299961,0.21899986,b
-0.05799961,0.034999847,-0.022999763,b
-0.01999998,-0.0050001144,-0.025000095,b
-0.0539999,9.999275E-4,-0.052999973,b
-0.048999786,0.04799986,-9.999275E-4,b
-0.09399986,0.0149998665,-0.078999996,b
-0.078999996,-0.00399971,-0.082999706,b
-0.49900007,0.07399988,-0.4250002,b
-0.123000145,0.02300024,-0.099999905,b
0.07200003,0.027999878,0.099999905,b
-0.15000057,-0.015999794,-0.16600037,b
-0.16400003,0.082000256,-0.08199978,b
0.048000336,0.05100012,0.099000454,b
-0.045000076,0.008000374,-0.036999702,b
-0.031999588,0.005999565,-0.026000023,b
-0.029999733,-0.029000282,-0.059000015,b
-0.082000256,0.011000156,-0.0710001,b
-0.078999996,-0.0050001144,-0.08400011,b
0.09799957,0.05700016,0.15499973,b
-0.009999752,-0.038000107,-0.04799986,b
-0.09599972,0.006000042,-0.089999676,b
0.030000001,-0.037,-0.0069999993,b
-0.06400013,-0.01099968,-0.07499981,b
-0.062999725,0.03099966,-0.032000065,b
-0.10299969,0.029999733,-0.072999954,b
-0.07200003,-0.031999588,-0.103999615,b
-0.05000019,-0.09800053,-0.14800072,b
-0.034999847,0.022000313,-0.012999535,b
-0.029999971,0.09699988,0.06699991,b
-0.09100008,-0.012000084,-0.103000164,b
-0.062000275,-0.027999878,-0.09000015,b
-0.11000013,-0.007999897,-0.11800003,b
