% 300 objects from SDSS
% Type (1,2,3) = (star,galaxy,so)  
% 


@RELATION Galaxy-Star-QSO

@ATTRIBUTE ug NUMERIC
@ATTRIBUTE gr NUMERIC
@ATTRIBUTE ri NUMERIC
@ATTRIBUTE grp {1,2,3}


@DATA
0.103909,0.786947,0.359715,3
0.142984,0.066025,-0.103035,3
0.312101,0.313276,0.101686,3
0.185043,0.354446,0.445278,3
0.312101,0.313276,0.101686,3
0.018967,0.018301,0.241413,3
0.185043,0.354446,0.445278,3
0.221197,0.095463,0.067129,3
0.281357,0.012949,0.165041,3
0.167709,0.241264,-0.059824,3
0.167709,0.241264,-0.059824,3
0.345377,-0.088762,0.153503,3
0.345377,-0.088762,0.153503,3
0.129366,0.157383,-0.073698,3
0.088802,-0.019407,0.208138,3
0.325024,-0.107983,0.127548,3
0.321554,0.300541,0.071405,3
0.321554,0.300541,0.071405,3
0.163527,0.398769,0.175007,3
0.162802,0.134134,0.148283,3
0.162802,0.134134,0.148283,3
0.247124,0.183704,0.177006,3
0.097658,0.293018,0.088915,3
0.097658,0.293018,0.088915,3
0.663668,0.31757,0.245745,3
0.342196,-0.074282,0.167398,3
0.08419,-0.054628,0.302824,3
0.53529,0.404833,0.434183,3
0.265886,0.126078,-0.03756,3
0.071285,0.113077,0.231272,3
-0.060225,0.148937,-0.109165,3
0.396942,0.36631,0.136532,3
0.280224,0.085976,0.057882,3
0.165897,0.171867,0.184835,3
0.363733,0.081215,-0.178146,3
0.363733,0.081215,-0.178146,3
0.019451,0.257277,-0.017628,3
0.540493,0.557034,0.23535,3
0.540493,0.557034,0.23535,3
0.093611,0.187038,0.057127,3
0.174807,0.084469,0.234528,3
0.180376,5.947113E-3,0.194761,3
0.180376,5.947113E-3,0.194761,3
0.147469,0.198177,5.058289E-3,3
0.147469,0.198177,5.058289E-3,3
0.293526,-0.033607,-0.122364,3
0.336857,0.20619,-0.026329,3
0.12295,0.083878,0.302094,3
0.014938,0.130083,0.050016,3
0.126705,0.04722,-0.041351,3
0.128565,0.126022,-0.089846,3
0.258198,-0.178286,0.071077,3
0.258198,-0.178286,0.071077,3
0.164619,0.192802,0.090153,3
0.164619,0.192802,0.090153,3
0.259268,0.030384,0.150612,3
0.166029,0.234661,0.055946,3
0.166029,0.234661,0.055946,3
0.377327,0.128836,-0.077637,3
0.377327,0.128836,-0.077637,3
0.095987,4.249573E-3,0.174767,3
0.263277,0.174454,0.28392,3
0.388294,0.460434,0.521795,3
0.126785,0.194651,-0.0958,3
0.315638,0.111559,-0.087603,3
0.194763,0.335758,0.089962,3
0.180658,0.31609,0.06591,3
1.875971,0.927811,0.479632,2
1.260836,0.573936,0.2897,2
1.607021,0.560877,0.293832,2
1.568497,0.80612,0.495028,2
1.568497,0.80612,0.495028,2
1.865717,0.656616,0.304913,2
1.406937,0.648544,0.408972,2
1.406937,0.648544,0.408972,2
1.938095,0.889144,0.416189,2
1.938095,0.889144,0.416189,2
1.599817,0.822678,0.433916,2
1.599817,0.822678,0.433916,2
1.740593,0.869501,0.445159,2
1.444407,0.683863,0.351934,2
1.690269,0.86146,0.471483,2
2.093578,1.106965,0.470007,2
1.374496,0.843758,0.427992,2
1.346291,0.468925,0.307758,2
1.564325,0.746683,0.426138,2
2.015297,0.932216,0.473688,2
2.077219,1.014024,0.496017,2
2.099751,1.007365,0.491451,2
1.398491,0.689289,0.380241,2
1.189623,0.675045,0.403112,2
1.943151,0.942492,0.464482,2
0.97715,0.679569,0.400791,2
1.976215,0.972406,0.486397,2
1.13994,0.515841,0.386295,2
2.053549,0.961453,0.506837,2
1.339405,0.652216,0.368773,2
1.335903,0.548401,0.345167,2
2.034975,1.022904,0.557552,2
1.974064,1.013988,0.45083,2
1.065018,0.506899,0.273115,2
1.775766,0.752916,0.378019,2
1.177223,0.485958,0.261868,2
1.878576,0.921285,0.440279,2
1.774931,0.87002,0.434665,2
1.448956,0.610086,0.326399,2
2.007853,0.930736,0.420476,2
1.587282,0.766489,0.450304,2
1.181318,0.489639,0.297693,2
1.181318,0.489639,0.297693,2
1.314426,0.575665,0.33852,2
0.980412,0.428385,0.403154,2
1.029837,0.535435,0.438509,2
1.029837,0.535435,0.438509,2
1.806366,0.897314,0.417484,2
1.806366,0.897314,0.417484,2
0.893702,0.76948,0.478246,2
0.980412,0.428385,0.403154,2
0.893702,0.76948,0.478246,2
1.583139,0.805456,0.432931,2
1.431454,0.650173,0.325348,2
1.522928,0.673109,0.408582,2
1.460924,0.731932,0.374092,2
2.077618,1.022064,0.456802,2
2.077618,1.022064,0.456802,2
1.562611,0.729487,0.369623,2
1.739552,0.767385,0.380953,2
1.209751,0.575991,0.353613,2
1.556055,0.864334,0.483456,2
1.668058,0.812838,0.460199,2
1.328508,0.606014,0.341999,2
1.319824,0.591553,0.347883,2
1.379292,0.845316,0.460915,2
1.892458,0.849465,0.435219,2
0.390436,0.172012,1.268387E-3,3
0.655609,0.57402,0.132038,3
0.196833,0.292122,0.018118,3
0.223293,0.331617,0.029165,3
0.275503,0.133726,0.097799,3
0.361732,0.232807,0.022192,3
0.172367,0.060064,0.266853,3
0.172367,0.060064,0.266853,3
0.161085,0.425339,0.309803,3
0.205517,0.425604,0.074129,3
0.205517,0.425604,0.074129,3
0.435452,0.024815,0.015894,3
0.435452,0.024815,0.015894,3
0.333406,0.032789,-0.140942,3
0.333406,0.032789,-0.140942,3
0.140228,0.239807,-0.126232,3
0.206066,0.096979,0.119375,3
0.14024,-0.059349,-0.101835,3
0.14024,-0.059349,-0.101835,3
8.274078E-3,0.268665,0.052998,3
0.319038,0.319416,0.042,3
0.230371,0.259932,0.21104,3
0.230371,0.259932,0.21104,3
0.393368,0.129135,0.174849,3
0.319038,0.319416,0.042,3
-0.092142,0.082203,0.344059,3
-0.092142,0.082203,0.344059,3
0.149557,0.169353,0.098061,3
0.358219,-0.034578,-0.041138,3
0.078249,-0.061594,0.378952,3
0.20104,-0.024717,0.016241,3
0.130257,0.274967,-0.061726,3
1.12369,0.194651,0.107603,1
-0.10182,-0.311018,-0.228146,1
1.311373,0.567699,0.207777,1
1.381643,0.021944,-0.017012,1
1.284435,0.510933,0.176275,1
1.318773,0.540009,0.217283,1
0.997423,-0.180803,-0.17988,1
1.304571,0.134083,0.053087,1
1.053535,0.413265,0.161554,1
1.156073,0.449591,0.166689,1
1.156073,0.449591,0.166689,1
0.211933,-0.275528,-0.232769,1
0.211933,-0.275528,-0.232769,1
1.117517,0.105387,-0.019598,1
1.346125,0.572008,0.183134,1
1.386475,0.622417,0.227749,1
1.386475,0.622417,0.227749,1
0.258615,0.116831,0.226301,1
0.921734,0.347927,0.129196,1
0.041121,-0.268656,-0.216141,1
1.590391,0.82736,0.134554,1
1.30439,0.545452,0.221077,1
1.27125,0.538254,0.216528,1
0.577822,0.026649,-0.079288,1
1.341022,0.573788,0.223831,1
1.283514,0.116753,0.019112,1
1.04192,0.201351,0.041796,1
-0.039135,0.651953,0.470476,1
1.712864,0.683395,0.059637,1
-0.250122,-0.406176,-0.324656,1
1.088633,0.156038,5.882263E-3,1
1.961519,0.68292,0.232738,1
1.961519,0.68292,0.232738,1
2.071556,0.806884,0.285854,1
2.071556,0.806884,0.285854,1
1.384052,0.556999,0.237981,1
1.107784,0.419968,0.177185,1
1.269661,0.499365,0.189695,1
1.297705,-0.078768,-0.071896,1
1.29775,-6.738663E-3,-0.031664,1
1.406733,0.556917,0.20934,1
1.072475,0.423967,0.152277,1
0.977587,0.368784,0.163549,1
1.195091,0.172104,0.029882,1
1.160374,0.728191,0.453987,1
1.197706,0.409431,0.162157,1
1.057285,0.692108,0.168106,1
0.267836,0.116589,0.046328,1
1.39537,0.648575,0.199783,1
1.336506,0.54294,0.195976,1
0.845062,0.468735,0.284098,1
1.827387,0.732487,0.284543,1
1.827387,0.732487,0.284543,1
0.938261,-0.069143,-0.103718,1
0.938261,-0.069143,-0.103718,1
0.08964,-0.218428,-0.235197,1
1.79266,0.68888,0.236659,1
1.054993,0.406225,0.159925,1
1.480665,1.435539,-0.387974,1
1.363316,0.563379,0.210766,1
2.041786,0.803985,0.296202,1
1.2288,-0.083057,-0.102362,1
1.665663,0.746521,0.314657,1
2.355804,0.956119,0.366182,1
1.009712,0.354139,0.169975,1
1.225044,0.34374,0.17469,1
1.258337,-0.095758,-0.100748,1
1.271168,0.576797,0.183676,1
0.96858,0.318275,0.111862,1
1.223804,0.505533,0.165977,1
1.257074,3.591537E-3,-0.04607,1
1.273851,-0.070114,-0.091206,1
1.273851,-0.070114,-0.091206,1
1.363005,0.505507,0.202784,1
0.898853,0.336523,0.123981,1
1.226799,0.526121,0.237122,1
1.184406,0.425711,0.130615,1
1.221413,0.549862,0.221291,1
0.033279,-0.191208,-0.225121,1
1.264181,0.412542,0.149157,1
1.303587,0.506144,0.205341,1
1.405266,0.555103,0.159954,1
1.31291,0.511019,0.198565,1
1.344795,0.518799,0.213015,1
0.947166,0.378395,0.161402,1
1.037394,0.448814,0.211456,1
1.497087,0.563288,0.201616,1
1.680857,0.730103,0.308496,1
1.244507,0.518053,0.21471,1
1.098631,0.391281,0.119177,1
1.565693,0.655178,0.266611,1
1.131403,0.399628,0.128073,1
1.391939,0.528994,0.203266,1
1.338573,0.503944,0.200026,1
0.432875,-0.129826,-0.138826,1
1.068222,0.075151,7.429123E-3,1
0.9778,0.384857,0.162525,1
0.848146,0.248272,-0.1717,1
1.106297,-0.225782,-0.15951,1
1.259069,0.418026,0.15029,1
2.033485,1.005648,0.488418,2
1.352062,0.791552,0.449284,2
1.648499,0.892796,0.474841,2
1.818689,0.888636,0.470281,2
1.951544,0.960467,0.285429,2
1.824543,0.981067,0.521241,2
1.519747,0.786028,0.464243,2
1.778587,0.984724,0.537583,2
1.421009,0.738148,0.508819,2
1.905085,0.960371,0.481787,2
1.653101,0.833389,0.467792,2
1.228842,0.63834,0.410219,2
1.246899,0.522854,0.341845,2
1.273979,0.735481,0.412542,2
1.389851,0.686928,0.375315,2
1.389696,0.661581,0.387776,2
2.004374,1.024673,0.50835,2
1.933826,0.990854,0.54318,2
1.880516,0.964751,0.508952,2
1.206127,0.503382,0.330109,2
0.878853,0.366135,0.199127,2
1.975368,0.984791,0.460188,2
1.855328,1.011385,0.539285,2
1.238674,0.570381,0.383274,2
0.9774,0.371801,0.193787,2
1.332552,0.560875,0.344021,2
1.480709,0.775192,0.445833,2
1.351212,0.625181,0.323616,2
1.954044,1.019825,0.474566,2
1.338606,0.742676,0.456171,2
1.403194,0.662405,0.330719,2
1.727552,0.863142,0.427085,2
